community_boards_served,num_projects,combined_total
,2,4824000
101,198,3903646000
102,32,927550000
103,58,863884000
104,41,1070894000
105,26,998762000
106,33,1112192000
107,42,1105950000
108,37,1779808000
109,37,1657826000
110,27,245686000
111,67,2075146000
112,28,451462000
201,82,1351770000
202,19,271542000
203,35,280892000
204,44,1307428000
205,33,400962000
206,25,345018000
207,31,6977126000
208,28,6778172000
209,35,576130000
210,23,1177568000
211,28,784784000
212,25,666586000
301,114,1609854000
302,69,2607658000
303,35,742304000
304,14,224394000
305,45,1520148000
306,46,921704000
307,32,635114000
308,38,550598000
309,32,486956000
310,24,327022000
311,10,121644000
312,13,96786000
313,37,998362000
314,28,325260000
315,25,244106000
316,35,994440000
317,12,143052000
318,41,1639162000
401,85,1621802000
402,41,1718038000
403,22,411370000
404,19,309246000
405,28,724632000
406,26,703036000
407,81,4121710000
408,28,342544000
409,21,566308000
410,13,437698000
411,25,580742000
412,80,2821526000
413,54,4832338000
414,53,1060472000
501,97,2061534000
502,48,1373400000
503,60,1759518000
