Date,pH,Magnesium,Calcium,Alkalinity,Ammonia,Nitrite,Nitrate,Salinity,Phosphate
2019-06-25,7.8,1200,395,10.5,,,,,
2019-07-10,7.8,1140,410,10.7,0,0,5,,
2019-07-15,8,,,14.7,,,,,
2019-07-16,8,,,14.4,,,,,
2019-07-16,8,,,14.7,,,,,
2019-07-21,8.3,1140,380,13.7,0.5,0,40,1.024,
2019-07-23,8,,,,0.5,,,,
2019-07-24,8,1200,415,13.7,0.5,,40,,
2019-07-25,,,,,0.5,,20,1.024,
2019-07-28,7.8,1290,430,13.7,0.25,,10,1.025,
2019-08-01,8,1275,485,13.4,,,20,1.025,0.5
2019-08-06,,,,,,,,,
2019-08-06,,,,,,,20,,
2019-08-08,7.9,,,14.25,,,20,1.026,
2019-08-15,,,,,,,10,,
2019-08-21,8,1395,470,11.2,,,20,1.025,1
2019-09-06,7.8,,,,,,15,,
2019-10-02,7.8,1290,410,9.3,0,,5,1.026,0.5
2019-10-04,,,,,,,2,1.023,
2019-10-09,,,,,,,1,1.025,.25
2019-10-11,,,,,,,,,.25
2019-10-13,,,,,,,,,.1
2019-10-13,,1300,400,8.6,,1,,,0.25
2019-10-14,,,,,,,,,.1
2019-10-14,,,,,,,,,0.1
2019-10-16,,,,,,,,,.03
2019-10-19,,,,8.3,,,0,1.025,O
2019-10-22,,,,,,,1,,
2019-10-27,,,,,,,2,,.1
2019-11-15,,,,,,,10,1.025,.1
2019-11-25,7.8,1250,450,9.6,,,0,,0.03
2019-12-14,7.9,1275,400,8.9,,,1,,0
2019-12-31,,,,,,,,1.024,
2020-01-05,7.8,,,,,,1,1.024,0
2020-01-21,,,,,,,2,,0
2020-02-09,,,,,,,10,,0.5
2020-02-10,,,,,,,,,0.1
2020-02-18,7.8,1275,415,9.3,,,5,1.024,0.1
2020-03-14,,,,,,,5,,0.1
2020-03-22,,,,,,,2,,0.1
2020-03-29,7.8,,,,,,7,,0.03
2020-04-11,7.9,,,,,,1,1.022,0.1
2020-04-14,8,,,,,,,1.024,.1
2020-04-15,,,,,,,,,0.03
2020-04-17,8.2,,,,,,,,
2020-04-25,8,1230,480,12.95,,,2,,0.5
2020-04-26,7.9,,,,,,,,0
2020-05-10,,,,,,,0,1.025,0.25
2020-05-16,8.2,,,,,,,,.1
2020-05-23,,,,,,,,,0.25
2020-05-24,,,,,,,,,.1
2020-06-12,,,,,,,,,0.1
2020-07-19,7.9,,,,,,5,1.026,0.03
2020-09-07,7.8,,,,,,10,1.024,0.03
2020-10-11,,,,,,,10,1.024,0.1
2020-10-20,,,,,,,10,,
2020-10-26,8.2,,,,,,5,1.026,0.1
2020-10-28,8.2,,,,,,,,
